,tripid,additional_fare,duration,meter_waiting,meter_waiting_fare,meter_waiting_till_pickup,pickup_time,drop_time,pick_lat,pick_lon,drop_lat,drop_lon,fare,label,lat_diff,lon_diff,pickup_year,pickup_month,pickup_date,pickup_hour,pickup_minute,drop_year,drop_month,drop_date,drop_hour,drop_minute,seconds,number_of_nights,pickup_day
0,189123628,10.5,834,56.0,0.0,64.0,2019-11-01 00:20:00,2019-11-01 00:34:00,6.86252,79.8993,6.9033,79.8783,270.32,1,0.040779999999999816,-0.021000000000000796,2019,11,1,0,20,2019,11,1,0,34,840,0,4
1,189125358,10.5,791,47.0,0.0,134.0,2019-11-01 00:56:00,2019-11-01 01:09:00,6.88589,79.8984,6.91373,79.8923,197.85,1,0.02784000000000031,-0.006099999999989336,2019,11,1,0,56,2019,11,1,1,9,780,0,4
2,189125719,10.5,1087,80.0,0.0,61.0,2019-11-01 01:08:00,2019-11-01 01:26:00,6.90839,79.8651,6.93669,79.9146,301.64,1,0.02829999999999977,0.04949999999999477,2019,11,1,1,8,2019,11,1,1,26,1080,0,4
3,189127273,10.5,598,271.0,15.6638,68.0,2019-11-01 02:27:00,2019-11-01 02:37:00,6.9257,79.8895,6.92748,79.8971,82.3,1,0.0017800000000001148,0.0075999999999964984,2019,11,1,2,27,2019,11,1,2,37,600,0,4
4,189128020,,1020,,,,2019-11-01 03:34:00,2019-11-01 03:51:00,6.874410000000001,79.8615,6.84478,79.929,358.39,1,-0.029630000000000933,0.06749999999999545,2019,11,1,3,34,2019,11,1,3,51,1020,0,4
5,189129552,10.5,3407,182.0,0.0,112.0,2019-11-01 05:38:00,2019-11-01 06:35:00,7.13402,79.8969,6.91865,79.8649,1065.02,1,-0.21536999999999917,-0.031999999999996476,2019,11,1,5,38,2019,11,1,6,35,3420,0,4
6,189132829,10.5,1246,487.0,0.0,133.0,2019-11-01 06:29:00,2019-11-01 06:49:00,6.843710000000001,79.9051,6.850689999999999,79.8624,266.62,1,0.006979999999998654,-0.04270000000001062,2019,11,1,6,29,2019,11,1,6,49,1200,0,4
7,189135103,10.5,1333,295.0,17.1985,212.0,2019-11-01 06:50:00,2019-11-01 07:12:00,6.9076,79.9524,6.906339999999999,79.9042,318.05,1,-0.001260000000001149,-0.04819999999999425,2019,11,1,6,50,2019,11,1,7,12,1320,0,4
8,189139296,10.5,360,80.0,4.664,3.0,2019-11-01 07:00:00,2019-11-01 07:06:00,7.267060000000001,80.6064,7.27422,80.6124,100.32,1,0.007159999999998945,0.006000000000000227,2019,11,1,7,0,2019,11,1,7,6,360,0,4
9,189138671,10.5,1539,588.0,33.9864,43.0,2019-11-01 07:02:00,2019-11-01 07:28:00,6.851369999999999,79.9537,6.84779,79.9274,257.89,1,-0.0035799999999994725,-0.026299999999991996,2019,11,1,7,2,2019,11,1,7,28,1560,0,4
10,189135814,10.5,26,19.0,0.0,73.0,2019-11-01 07:27:00,2019-11-01 07:27:00,7.00355,79.8819,7.132789999999999,79.8868,694.37,0,0.12923999999999936,0.004899999999992133,2019,11,1,7,27,2019,11,1,7,27,0,0,4
11,189140969,10.5,31,20.0,0.0,130.0,2019-11-01 07:42:00,2019-11-01 07:42:00,6.908710000000001,79.8978,6.91368,79.8572,235.59,0,0.004969999999999253,-0.04059999999999775,2019,11,1,7,42,2019,11,1,7,42,0,0,4
12,189144528,10.5,2011,199.0,0.0,165.0,2019-11-01 07:44:00,2019-11-01 08:17:00,6.822780000000001,79.9527,6.87241,79.8835,452.39,1,0.04962999999999962,-0.06919999999999504,2019,11,1,7,44,2019,11,1,8,17,1980,0,4
13,189147041,10.5,1260,30.0,0.0,9.0,2019-11-01 07:44:00,2019-11-01 08:05:00,7.12626,79.9817,7.1229,79.9687,111.21,0,-0.0033600000000006958,-0.01300000000000523,2019,11,1,7,44,2019,11,1,8,5,1260,0,4
14,189145904,10.5,335,10.0,0.583,17.0,2019-11-01 07:45:00,2019-11-01 07:51:00,6.85268,79.8631,6.8656,79.86399999999999,126.87,1,0.012919999999999376,0.0008999999999872443,2019,11,1,7,45,2019,11,1,7,51,360,0,4
15,189146174,10.5,4221,1608.0,84.2146,72.0,2019-11-01 07:48:00,2019-11-01 08:58:00,6.9713199999999995,79.9606,6.93615,79.847,672.87,1,-0.035169999999999924,-0.11360000000000525,2019,11,1,7,48,2019,11,1,8,58,4200,0,4
16,189150541,10.5,1472,219.0,12.69997624,413.0,2019-11-01 08:14:00,2019-11-01 08:38:00,7.1142199999999995,80.0033,7.10365,80.0485,305.22,1,-0.010569999999999524,0.045200000000008345,2019,11,1,8,14,2019,11,1,8,38,1440,0,4
17,189153229,10.5,284,0.0,0.0,82.0,2019-11-01 08:17:00,2019-11-01 08:21:00,7.2986,80.6266,7.29507,80.6375,95.31,1,-0.003530000000000477,0.010900000000006571,2019,11,1,8,17,2019,11,1,8,21,240,0,4
18,189151585,10.5,2435,381.0,0.0,186.0,2019-11-01 08:23:00,2019-11-01 09:04:00,6.795889999999999,79.8916,6.88183,79.8666,461.25,1,0.0859400000000008,-0.024999999999991473,2019,11,1,8,23,2019,11,1,9,4,2460,0,4
